Category: All categories

Week,League of Legends: (Worldwide)
2016-10-23,94
2016-10-30,100
2016-11-06,98
2016-11-13,90
2016-11-20,84
2016-11-27,77
2016-12-04,84
2016-12-11,90
2016-12-18,83
2016-12-25,80
2017-01-01,77
2017-01-08,83
2017-01-15,84
2017-01-22,87
2017-01-29,82
2017-02-05,80
2017-02-12,77
2017-02-19,79
2017-02-26,75
2017-03-05,75
2017-03-12,72
2017-03-19,74
2017-03-26,72
2017-04-02,77
2017-04-09,72
2017-04-16,78
2017-04-23,75
2017-04-30,83
2017-05-07,74
2017-05-14,68
2017-05-21,62
2017-05-28,63
2017-06-04,61
2017-06-11,63
2017-06-18,61
2017-06-25,67
2017-07-02,65
2017-07-09,65
2017-07-16,61
2017-07-23,66
2017-07-30,63
2017-08-06,67
2017-08-13,60
2017-08-20,62
2017-08-27,60
2017-09-03,61
2017-09-10,61
2017-09-17,62
2017-09-24,73
2017-10-01,74
2017-10-08,74
