Category: All categories

Week,League of Legends: (Worldwide)
2012-10-21,68
2012-10-28,66
2012-11-04,65
2012-11-11,66
2012-11-18,61
2012-11-25,58
2012-12-02,70
2012-12-09,66
2012-12-16,70
2012-12-23,71
2012-12-30,66
2013-01-06,62
2013-01-13,68
2013-01-20,70
2013-01-27,71
2013-02-03,70
2013-02-10,70
2013-02-17,67
2013-02-24,68
2013-03-03,71
2013-03-10,64
2013-03-17,68
2013-03-24,77
2013-03-31,78
2013-04-07,69
2013-04-14,72
2013-04-21,71
2013-04-28,80
2013-05-05,74
2013-05-12,73
2013-05-19,78
2013-05-26,81
2013-06-02,76
2013-06-09,81
2013-06-16,79
2013-06-23,79
2013-06-30,81
2013-07-07,87
2013-07-14,88
2013-07-21,82
2013-07-28,87
2013-08-04,81
2013-08-11,85
2013-08-18,91
2013-08-25,85
2013-09-01,89
2013-09-08,86
2013-09-15,92
2013-09-22,98
2013-09-29,97
2013-10-06,92
2013-10-13,90
2013-10-20,84
2013-10-27,93
2013-11-03,87
2013-11-10,91
2013-11-17,89
2013-11-24,81
2013-12-01,74
2013-12-08,78
2013-12-15,85
2013-12-22,89
2013-12-29,89
2014-01-05,74
2014-01-12,90
2014-01-19,87
2014-01-26,85
2014-02-02,82
2014-02-09,88
2014-02-16,81
2014-02-23,84
2014-03-02,83
2014-03-09,79
2014-03-16,83
2014-03-23,77
2014-03-30,83
2014-04-06,78
2014-04-13,85
2014-04-20,90
2014-04-27,83
2014-05-04,87
2014-05-11,84
2014-05-18,84
2014-05-25,81
2014-06-01,85
2014-06-08,92
2014-06-15,87
2014-06-22,78
2014-06-29,81
2014-07-06,79
2014-07-13,80
2014-07-20,87
2014-07-27,98
2014-08-03,88
2014-08-10,91
2014-08-17,86
2014-08-24,97
2014-08-31,86
2014-09-07,92
2014-09-14,98
2014-09-21,100
2014-09-28,93
2014-10-05,91
2014-10-12,87
2014-10-19,91
2014-10-26,81
2014-11-02,82
2014-11-09,85
2014-11-16,81
2014-11-23,77
2014-11-30,68
2014-12-07,74
2014-12-14,79
2014-12-21,84
2014-12-28,78
2015-01-04,78
2015-01-11,86
2015-01-18,85
2015-01-25,87
2015-02-01,82
2015-02-08,85
2015-02-15,87
2015-02-22,87
2015-03-01,79
2015-03-08,80
2015-03-15,77
2015-03-22,77
2015-03-29,80
2015-04-05,76
2015-04-12,70
2015-04-19,70
2015-04-26,75
2015-05-03,78
2015-05-10,86
2015-05-17,74
2015-05-24,77
2015-05-31,75
2015-06-07,75
2015-06-14,78
2015-06-21,85
2015-06-28,80
2015-07-05,81
2015-07-12,79
2015-07-19,86
2015-07-26,79
2015-08-02,80
2015-08-09,77
2015-08-16,85
2015-08-23,80
2015-08-30,77
2015-09-06,76
2015-09-13,87
2015-09-20,73
2015-09-27,97
2015-10-04,98
2015-10-11,99
2015-10-18,80
2015-10-25,86
2015-11-01,80
2015-11-08,89
2015-11-15,73
2015-11-22,72
2015-11-29,69
2015-12-06,73
2015-12-13,70
2015-12-20,74
2015-12-27,78
2016-01-03,65
2016-01-10,73
2016-01-17,76
2016-01-24,74
2016-01-31,73
2016-02-07,72
2016-02-14,65
2016-02-21,67
2016-02-28,66
2016-03-06,68
2016-03-13,65
2016-03-20,76
2016-03-27,70
2016-04-03,70
2016-04-10,65
2016-04-17,72
2016-04-24,63
2016-05-01,73
2016-05-08,64
2016-05-15,70
2016-05-22,60
2016-05-29,63
2016-06-05,63
2016-06-12,61
2016-06-19,58
2016-06-26,60
2016-07-03,56
2016-07-10,56
2016-07-17,53
2016-07-24,54
2016-07-31,53
2016-08-07,55
2016-08-14,53
2016-08-21,55
2016-08-28,53
2016-09-04,53
2016-09-11,57
2016-09-18,55
2016-09-25,63
2016-10-02,70
2016-10-09,65
2016-10-16,63
2016-10-23,57
2016-10-30,61
2016-11-06,60
2016-11-13,54
2016-11-20,50
2016-11-27,48
2016-12-04,51
2016-12-11,54
2016-12-18,49
2016-12-25,49
2017-01-01,47
2017-01-08,50
2017-01-15,50
2017-01-22,52
2017-01-29,50
2017-02-05,48
2017-02-12,46
2017-02-19,48
2017-02-26,46
2017-03-05,46
2017-03-12,43
2017-03-19,45
2017-03-26,43
2017-04-02,47
2017-04-09,44
2017-04-16,46
2017-04-23,46
2017-04-30,50
2017-05-07,45
2017-05-14,41
2017-05-21,38
2017-05-28,38
2017-06-04,37
2017-06-11,38
2017-06-18,37
2017-06-25,41
2017-07-02,39
2017-07-09,40
2017-07-16,37
2017-07-23,39
2017-07-30,38
2017-08-06,41
2017-08-13,36
2017-08-20,37
2017-08-27,35
2017-09-03,37
2017-09-10,37
2017-09-17,38
2017-09-24,44
2017-10-01,44
2017-10-08,44
