Category: All categories

Week,time series analysis: (Worldwide)
2016-10-09,82
2016-10-16,83
2016-10-23,85
2016-10-30,93
2016-11-06,88
2016-11-13,85
2016-11-20,70
2016-11-27,99
2016-12-04,100
2016-12-11,91
2016-12-18,67
2016-12-25,53
2017-01-01,65
2017-01-08,76
2017-01-15,78
2017-01-22,79
2017-01-29,76
2017-02-05,87
2017-02-12,84
2017-02-19,96
2017-02-26,90
2017-03-05,84
2017-03-12,92
2017-03-19,85
2017-03-26,93
2017-04-02,97
2017-04-09,94
2017-04-16,86
2017-04-23,94
2017-04-30,91
2017-05-07,84
2017-05-14,84
2017-05-21,86
2017-05-28,73
2017-06-04,79
2017-06-11,70
2017-06-18,79
2017-06-25,74
2017-07-02,67
2017-07-09,72
2017-07-16,77
2017-07-23,77
2017-07-30,78
2017-08-06,68
2017-08-13,66
2017-08-20,68
2017-08-27,74
2017-09-03,67
2017-09-10,85
2017-09-17,73
2017-09-24,88
2017-10-01,66
