Category: All categories

Month,League of Legends: (Worldwide)
2004-01,4
2004-02,4
2004-03,4
2004-04,4
2004-05,4
2004-06,4
2004-07,4
2004-08,4
2004-09,5
2004-10,5
2004-11,5
2004-12,5
2005-01,5
2005-02,5
2005-03,5
2005-04,6
2005-05,6
2005-06,5
2005-07,5
2005-08,5
2005-09,5
2005-10,6
2005-11,6
2005-12,6
2006-01,6
2006-02,6
2006-03,6
2006-04,6
2006-05,6
2006-06,6
2006-07,5
2006-08,5
2006-09,6
2006-10,6
2006-11,6
2006-12,6
2007-01,6
2007-02,6
2007-03,6
2007-04,6
2007-05,6
2007-06,6
2007-07,5
2007-08,5
2007-09,5
2007-10,6
2007-11,6
2007-12,7
2008-01,6
2008-02,6
2008-03,6
2008-04,6
2008-05,6
2008-06,6
2008-07,6
2008-08,5
2008-09,6
2008-10,7
2008-11,7
2008-12,7
2009-01,7
2009-02,9
2009-03,8
2009-04,7
2009-05,7
2009-06,7
2009-07,7
2009-08,7
2009-09,8
2009-10,8
2009-11,9
2009-12,10
2010-01,11
2010-02,12
2010-03,12
2010-04,14
2010-05,15
2010-06,16
2010-07,19
2010-08,20
2010-09,21
2010-10,23
2010-11,22
2010-12,23
2011-01,25
2011-02,28
2011-03,30
2011-04,34
2011-05,35
2011-06,41
2011-07,41
2011-08,47
2011-09,45
2011-10,46
2011-11,44
2011-12,45
2012-01,46
2012-02,50
2012-03,50
2012-04,57
2012-05,53
2012-06,57
2012-07,61
2012-08,64
2012-09,56
2012-10,72
2012-11,65
2012-12,72
2013-01,68
2013-02,74
2013-03,75
2013-04,77
2013-05,82
2013-06,84
2013-07,89
2013-08,92
2013-09,98
2013-10,95
2013-11,92
2013-12,87
2014-01,88
2014-02,89
2014-03,86
2014-04,88
2014-05,89
2014-06,89
2014-07,90
2014-08,95
2014-09,100
2014-10,91
2014-11,85
2014-12,80
2015-01,86
2015-02,91
2015-03,83
2015-04,77
2015-05,83
2015-06,83
2015-07,86
2015-08,85
2015-09,83
2015-10,99
2015-11,83
2015-12,76
2016-01,78
2016-02,73
2016-03,72
2016-04,72
2016-05,69
2016-06,64
2016-07,58
2016-08,57
2016-09,58
2016-10,70
2016-11,57
2016-12,54
2017-01,52
2017-02,50
2017-03,47
2017-04,49
2017-05,44
2017-06,40
2017-07,41
2017-08,39
2017-09,41
2017-10,48
